COD_USU,SEX_USU,FEC_NAC_USU,EDAD_USU,GRU_ET,PAI_USU,TIE_DIS,LEN_MAT,AUT_IDE_ET,NOM_CEN,FEC_ING,PER_ING,TIP_SEG_SAL,EST_ACT,FEC_EGR,MOT_EGR
121200594,1,2021-10-12,4,2,PERÚ,3,2,2,CEDIF JULI,2025-01-06,4,1,1,NO APLICA,11
121200595,2,2020-09-20,5,2,PERÚ,3,2,2,CEDIF JULI,2025-01-06,4,1,1,NO APLICA,11
121200597,1,2012-10-21,13,4,PERÚ,3,2,2,CEDIF JULI,2025-01-06,1,1,1,NO APLICA,11
121200599,1,2021-09-16,4,2,PERÚ,3,2,2,CEDIF JULI,2025-01-06,8,1,1,NO APLICA,11
121200603,1,2020-12-27,5,2,PERÚ,3,2,2,CEDIF JULI,2025-01-06,4,2,1,NO APLICA,11
121200612,2,2019-06-06,6,3,PERÚ,3,2,2,CEDIF JULI,2025-01-13,4,1,1,NO APLICA,11
121200699,1,2012-06-08,13,4,PERÚ,3,2,2,CEDIF JULI,2025-01-06,1,1,1,NO APLICA,11
121200634,1,2014-04-22,11,3,PERÚ,3,2,2,CEDIF JULI,2025-01-15,1,1,1,NO APLICA,11
121200639,2,2017-07-12,8,3,PERÚ,3,2,2,CEDIF JULI,2025-01-20,2,1,1,NO APLICA,11
121200642,1,2019-03-21,6,3,PERÚ,3,2,2,CEDIF JULI,2025-01-28,5,1,1,NO APLICA,11
120100775,2,2023-07-18,2,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-10-15,1,1,1,NO APLICA,11
120100919,1,2023-05-22,2,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-06-17,1,1,1,NO APLICA,11
120100944,1,2023-06-30,2,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-14,1,1,1,NO APLICA,11
120100943,2,2023-10-23,2,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-14,1,1,1,NO APLICA,11
1201008056,1,2023-07-03,2,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-14,1,1,1,NO APLICA,11
1201008070,2,2023-07-23,2,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-14,1,1,1,NO APLICA,11
120100956,2,2023-05-25,2,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-28,1,1,1,NO APLICA,11
120100904,1,2022-11-18,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-04-04,1,2,1,NO APLICA,11
1201008032,1,2022-08-16,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-01-08,1,1,1,NO APLICA,11
1201008025,2,2022-04-17,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-01-08,1,1,1,NO APLICA,11
120100800,1,2022-06-26,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-08-09,1,1,1,NO APLICA,11
1201008030,2,2022-11-21,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-01-08,1,1,1,NO APLICA,11
120100912,1,2023-01-10,2,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-05-13,1,1,1,NO APLICA,11
1201008080,1,2022-05-28,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-03-06,1,1,1,NO APLICA,11
1201008029,2,2022-07-02,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-01-08,1,1,1,NO APLICA,11
120100939,1,2023-02-06,2,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-14,1,1,1,NO APLICA,11
1201008098,2,2022-04-17,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-03-01,1,2,1,NO APLICA,11
120100941,1,2023-01-15,2,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-14,1,1,1,NO APLICA,11
120100935,2,2022-07-05,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-14,1,1,1,NO APLICA,11
120100937,1,2022-04-27,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-14,1,2,1,NO APLICA,11
120100934,1,2022-10-20,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-14,1,1,1,NO APLICA,11
120100793,2,2022-03-30,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-07-10,1,1,1,NO APLICA,11
1201008075,1,2021-09-28,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-03-04,1,1,1,NO APLICA,11
