COD_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;LEN_MAT;AUT_IDE_ET;NOM_CEN;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;MOT_EGR
CDFSJT00069;2;2022-04-23;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-09-04;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00070;2;2022-11-16;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-07-04;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00071;1;2022-05-04;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-10;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00072;2;2021-04-11;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-03-06;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00073;1;2021-03-19;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-04-11;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00074;1;2020-07-16;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2022-05-30;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00074;1;2014-01-13;11;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2022-05-30;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00075;1;2020-02-25;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-17;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00076;2;2021-06-24;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-17;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00076;2;2021-06-24;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-17;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00077;2;2021-06-14;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-04;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00078;2;2021-07-30;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-05-10;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00079;1;2016-07-26;8;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-16;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00079;2;2012-08-05;12;4;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-05-08;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00079;2;2010-03-25;14;4;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-03-01;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00080;2;2021-08-26;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-22;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00081;2;2012-03-23;12;4;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-16;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00081;1;2020-08-21;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-03-22;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00081;1;2020-08-21;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-03-22;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00081;1;2014-02-13;10;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-03-12;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00082;2;2020-12-04;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-15;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00083;1;2019-10-14;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-03-01;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00084;1;2023-12-07;1;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-23;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00084;2;2021-08-05;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-23;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00085;2;2014-08-27;10;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-24;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00085;2;2020-02-17;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-24;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00085;2;2022-01-17;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-24;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00086;2;2020-07-18;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-27;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00087;2;2021-05-27;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-27;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00088;2;2023-01-24;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-24;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00089;1;2022-06-07;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-27;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00089;1;2020-06-30;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-27;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00090;1;2021-03-24;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-02-21;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00091;1;2022-03-17;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-28;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00092;1;2019-06-11;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-01-13;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00093;1;2019-06-07;5;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-09;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00093;2;2017-04-19;7;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-04-09;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00094;2;2023-09-05;1;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-30;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00094;1;2017-09-25;7;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2025-01-30;1;ESSALUD;1;NO APLICA;NO APLICA
288;2;2018-01-04;7;3;PERÚ;3;10;7;CEDIF CAJAMARCA;2021-01-25;1;ESSALUD;1;NO APLICA;NO APLICA
295;2;2012-06-21;12;4;PERÚ;3;10;7;CEDIF CAJAMARCA;2021-02-26;1;SIS;1;NO APLICA;NO APLICA
310;2;2014-04-08;10;3;PERÚ;3;10;7;CEDIF CAJAMARCA;2021-05-25;1;ESSALUD;1;NO APLICA;NO APLICA
310;1;2012-04-17;12;4;PERÚ;3;10;7;CEDIF CAJAMARCA;2021-05-25;1;ESSALUD;1;NO APLICA;NO APLICA
310;2;2011-02-21;13;4;PERÚ;3;10;7;CEDIF CAJAMARCA;2021-05-25;1;ESSALUD;1;NO APLICA;NO APLICA
265;1;2011-11-05;13;4;PERÚ;1;10;7;CEDIF CAJAMARCA;2019-06-25;1;SIS;1;NO APLICA;NO APLICA
326;1;2014-08-22;10;3;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-01-28;1;SIS;1;NO APLICA;NO APLICA
329;2;2016-10-30;8;3;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-01-28;1;ESSALUD;1;NO APLICA;NO APLICA
330;1;2009-10-31;15;4;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-01-28;3;SIS;1;NO APLICA;NO APLICA
333;2;2013-12-30;11;3;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-01-28;1;SIS;1;NO APLICA;NO APLICA
337;2;2014-10-13;10;3;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-02-25;1;SIS;1;NO APLICA;NO APLICA
337;2;2012-09-03;12;4;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-02-25;1;SIS;1;NO APLICA;NO APLICA
338;2;2013-03-05;11;3;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-02-25;1;SIS;2;2025-01-28;1
338;1;2011-08-31;13;4;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-02-25;1;SIS;2;2025-01-28;1
340;2;2007-08-25;17;4;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-02-25;3;SIS;1;NO APLICA;NO APLICA
356;2;2013-12-06;11;3;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-02-25;1;SIS;1;NO APLICA;NO APLICA
131;2;2013-03-22;11;3;COLOMBIA;3;10;5;CEDIF CAJAMARCA;2017-05-02;1;ESSALUD;1;NO APLICA;NO APLICA
131;1;2011-02-12;13;4;COLOMBIA;3;10;5;CEDIF CAJAMARCA;2017-05-02;1;ESSALUD;1;NO APLICA;NO APLICA
379;2;2013-02-06;11;3;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-03-25;1;SIS;1;NO APLICA;NO APLICA
381;2;2011-11-23;13;4;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-03-25;1;SIS;1;NO APLICA;NO APLICA
385;2;2008-05-30;16;4;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-04-27;1;SIS;1;NO APLICA;NO APLICA
387;2;2016-05-05;8;3;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-04-27;1;SIS;1;NO APLICA;NO APLICA
387;1;2011-04-12;13;4;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-04-27;1;SIS;1;NO APLICA;NO APLICA
385;1;2017-12-06;7;3;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-05-27;1;SIS;1;NO APLICA;NO APLICA
385;2;2010-05-25;14;4;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-05-27;1;SIS;1;NO APLICA;NO APLICA
397;2;2015-01-03;10;3;PERÚ;3;10;7;CEDIF CAJAMARCA;2022-07-25;1;SIS;1;NO APLICA;NO APLICA
